period,strategy,metric,baseline,baseline_value,n_seeds,win_rate
calm_2023_24,DQN,sharpe,static_60_30_10,1.7663376727331053,5,0.0
calm_2023_24,PPO,sharpe,static_60_30_10,1.7663376727331053,5,0.0
covid_crash,DQN,sharpe,static_60_30_10,0.15031434360317017,5,0.2
covid_crash,PPO,sharpe,static_60_30_10,0.15031434360317017,5,0.4
gfc,DQN,sharpe,static_60_30_10,-0.19311809501601326,5,0.2
gfc,PPO,sharpe,static_60_30_10,-0.19311809501601326,5,0.4
inflation_2022,DQN,sharpe,static_60_30_10,-0.723199185168554,5,0.4
inflation_2022,PPO,sharpe,static_60_30_10,-0.723199185168554,5,0.2
recovery_2020_21,DQN,sharpe,static_60_30_10,1.6640408437684042,5,0.0
recovery_2020_21,PPO,sharpe,static_60_30_10,1.6640408437684042,5,0.0
val,DQN,sharpe,static_60_30_10,1.5399067297536906,5,0.0
val,PPO,sharpe,static_60_30_10,1.5399067297536906,5,0.0
