,mean,std
SPY__ret_1d,0.0005678835264141829,0.010009726518058662
SPY__mom_5,0.002890638744183215,0.02154017841487478
SPY__mom_21,0.011882446587974596,0.03819045348043323
SPY__mom_63,0.0371531068120377,0.057646117680121435
SPY__vol_21,0.14509583068167442,0.0682212600388231
SPY__dd,-0.01961004642380912,0.02611071429164619
IEF__ret_1d,0.00018720284667039165,0.004228895295395231
IEF__mom_5,0.0009638482300512838,0.00884670606063507
IEF__mom_21,0.004196416157258592,0.01745183150688378
IEF__mom_63,0.011600046490688852,0.030616474237343226
IEF__vol_21,0.06498974570313337,0.019169798089946108
IEF__dd,-0.011474827820866874,0.01104773397852987
GLD__ret_1d,5.924726324692924e-05,0.010994286288075925
GLD__mom_5,0.0003290330677759204,0.024040652095946562
GLD__mom_21,0.001229334471154879,0.04770521320287105
GLD__mom_63,0.005960671492064047,0.0770674331873946
GLD__vol_21,0.16419706929101768,0.060115450742293894
GLD__dd,-0.036014203110740196,0.03157359532447289
