strategy,kind,seed,period,in_sample,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
static_60_30_10,baseline,-1,val,False,0.506620197244672,0.11174998473971143,0.07041762042910699,1.5399067297536906,1.9215894656564934,-0.10647557749799696,1.0495363102568163,0.006950551388482109,0.011146004199495227,975,0.0039401788349093,0.9929250663971435,0.6001142346810047,0.2999026879359887,0.0999830773830066
equal_weight,baseline,-1,val,False,0.3593277502544716,0.08257794085693648,0.05558354630648683,1.4554820984970753,2.21502068258867,-0.06976947156757674,1.1835827189396702,0.00556010009141219,0.007562876406344961,975,0.0037937562815790033,0.9560265829579089,0.33343713123740676,0.33325734308440935,0.3333055256781839
buy_and_hold,baseline,-1,val,False,0.3749981904370181,0.0857898571954856,0.05914521327240554,1.421398669835542,2.05051532580272,-0.08476804478572109,1.0120542170383602,0.005670671482640621,0.008319764175888823,975,4.0423504999172364e-17,1.0186723259791436e-14,0.39947292947509877,0.29176195848782566,0.3087651120370756
inverse_vol,baseline,-1,val,False,0.25754890224334415,0.061019472037238565,0.04383012313307965,1.3734139683587308,2.0480109690405666,-0.06961824819484363,0.8764867490842444,0.004307780314152039,0.006030940375631288,975,0.0096100185545265,2.4217246757406783,0.2340109022720927,0.5452677152001936,0.22072138252771362
random,baseline,-1,val,False,-0.059366985513052084,-0.01569396345352292,0.08103354496376375,-0.15474370813890814,-0.21752182595960093,-0.23529389014779933,-0.06669940916725373,0.007893658768963842,0.011944835762563964,975,1.002918163620125,252.7353772322715,0.3263020331164587,0.3314483668293509,0.34224960005419036
DQN,rl,0,val,False,-0.20528849953128858,-0.05765920355812004,0.10170104077160141,-0.5330393417678729,-0.6606453946793533,-0.2937604645658807,-0.19627965813346882,0.010522912964072994,0.01730421154512326,975,0.6179971812493327,155.73528967483185,0.40567144942737055,0.39587093192779016,0.19845761864483932
DQN,rl,1,val,False,-0.1121873255637641,-0.030287365278477196,0.11006578087972177,-0.2244798290930517,-0.3004611696874277,-0.340522141749812,-0.08894389399421167,0.009870125238222335,0.017602495005921964,975,0.6417220205365319,161.71394917520604,0.35642084308697064,0.33000255131923123,0.3135766055937982
DQN,rl,2,val,False,-0.07235105944078302,-0.01922377683760379,0.10341147142596553,-0.13606128276956334,-0.18432658948115793,-0.22831253743793123,-0.08419939199716504,0.010884386919850286,0.016447493159694973,975,0.7682134494107816,193.58978925151698,0.44851770194387264,0.24870187779058292,0.3027804202655444
DQN,rl,3,val,False,0.09186094216449292,0.02297445047640001,0.10766641510018253,0.26474606309748544,0.3505746081587558,-0.1949685229981165,0.11783671601503569,0.008958895964582657,0.01719871951830062,975,0.63224627420673,159.32606110009596,0.4259385948496088,0.3517591847304888,0.22230222041990244
DQN,rl,4,val,False,0.020124413536007912,0.0051630239041799975,0.10401065164217396,0.10137579429950784,0.13835517645958267,-0.13000441942398178,0.03971421838623726,0.008732339401348032,0.015628164073035623,975,0.6773678687761484,170.69670293158939,0.39895092369509966,0.34027557876381975,0.2607734975410806
PPO,rl,0,val,False,-0.18191804025380542,-0.05057354057229957,0.1041898004081875,-0.4459217562639874,-0.5527126845961484,-0.29170504600880676,-0.1733721828410631,0.010847885587538226,0.017383916186713734,975,0.7743569125526605,195.13794196327044,0.3936423510363528,0.27595760548777654,0.3304000434758706
PPO,rl,1,val,False,0.22379051818693352,0.05358337208669561,0.10265202200379935,0.5596890585103689,0.7547582650130673,-0.19591477478152797,0.27350347694015664,0.008543079860869782,0.015335860352945761,975,0.664285882310745,167.40004234230776,0.3772395368677253,0.47154463896062376,0.15121582417165091
PPO,rl,2,val,False,-0.09427360562786635,-0.025267639376600592,0.10131091478494396,-0.20193716807239775,-0.2564368559108414,-0.25900657457459286,-0.09755597678592368,0.009320664483140381,0.015848770384244214,975,0.8137148201306377,205.0561346729207,0.45577933936977233,0.3268295598808359,0.21739110074939175
PPO,rl,3,val,False,-0.3361219011063815,-0.10046787261098733,0.08831677686243201,-1.1544134087826956,-1.4528893770665667,-0.3751889340841905,-0.2677794132074344,0.008520490039014275,0.014851904597686384,975,0.7668907285300774,193.2564635895795,0.24713279945967542,0.550407054331581,0.2024601462087436
PPO,rl,4,val,False,-0.13296881114383485,-0.036205689011176156,0.09996682484839374,-0.3188292734977103,-0.40888491722054443,-0.271055051533304,-0.13357319410344076,0.009693820823160748,0.01607472349539498,975,0.7660413366770779,193.04241684262362,0.3855913330882725,0.2329277884189141,0.3814808784928135
static_60_30_10,baseline,-1,covid_crash,False,0.0003657195015822623,0.0009807408877871016,0.2956618743137589,0.15031434360317017,0.19095912564514186,-0.1996264273190631,0.004912881029622308,0.03318747495623187,0.04699162835688627,94,0.017808056900146297,4.487630338836867,0.5995386343649735,0.3003182077554441,0.10014315787958239
equal_weight,baseline,-1,covid_crash,False,0.05230603755216956,0.1464617530355079,0.18749877424373376,0.8221585235962351,0.9725381988561436,-0.12552239448601588,1.166817711176031,0.020559830505840395,0.029593773177889398,94,0.0117287582584463,2.9556470811284674,0.3329510495802116,0.3334614849581748,0.3335874654616137
buy_and_hold,baseline,-1,covid_crash,False,0.042170461281713534,0.11709766168954072,0.16590930415697708,0.7499220535261183,0.8848189751776061,-0.12158355733595161,0.9631044218091451,0.01889732650133484,0.026096032749974768,94,3.5432649722079466e-17,8.929027729964026e-15,0.28777338298225763,0.3573341887823926,0.3548924282353498
inverse_vol,baseline,-1,covid_crash,False,0.06612306153810366,0.18726408648722903,0.10766371083056221,1.6481600720693674,2.1017029252357218,-0.08107317372466438,2.3098156626161392,0.009434785243086457,0.015766694159250912,94,0.021738056643954024,5.477990274276414,0.13342039598092043,0.5962072762464441,0.2703723277726354
