variant,algo,sharpe,sharpe_sd,ann_turnover,max_drawdown,cagr,n
reward_log_return,DQN,-0.04469498509575009,0.7357690128356821,165.01968701511413,-0.22677190396776925,-0.038862504241686295,18
reward_log_return,PPO,-0.27319750995249426,0.80411158817681,182.69625837634462,-0.24222900425638205,-0.0738001785744365,18
reward_log_return,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
reward_differential_sharpe,DQN,0.24429037189732478,0.795276853726941,171.05523028159627,-0.20168908856220236,0.05164056745336035,18
reward_differential_sharpe,PPO,0.38213398744183974,0.6274167276718275,86.46534202359214,-0.2034995786006113,0.027440911582924127,18
reward_differential_sharpe,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
reward_cvar_penalised,DQN,0.37497419730002396,0.9621313270604873,142.41168431273869,-0.1767814645549644,0.07919894692526763,18
reward_cvar_penalised,PPO,-0.5361172216161028,0.6359016007008742,185.8658219202168,-0.23216789666811,-0.1013702328491785,18
reward_cvar_penalised,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
reward_turnover_penalised,DQN,0.798697875795431,0.8079142568213735,17.041182405804506,-0.1929449397144218,0.1042277517181664,18
reward_turnover_penalised,PPO,0.3699912671023329,0.7702525571838215,63.814692715366405,-0.18503048121180668,0.03990872485949785,18
reward_turnover_penalised,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
