,mean,std
SPY__ret_1d,-9.882785943410301e-05,0.01199934195623127
SPY__mom_5,-0.0005126035527842295,0.02766880707919174
SPY__mom_21,-0.002088440021532417,0.060653406979345056
SPY__mom_63,-0.006122468881615,0.1112659708336577
SPY__vol_21,0.16641560074001266,0.09061376405070054
SPY__dd,-0.040281378407847276,0.051786510022431294
IEF__ret_1d,-3.80785891911652e-05,0.004309821411035964
IEF__mom_5,-0.0001779924661791046,0.009598862242163829
IEF__mom_21,-0.00079993900030205,0.01865374283160284
IEF__mom_63,-0.002310198877538953,0.034530615355095266
IEF__vol_21,0.06385701707534562,0.024557445977280698
IEF__dd,-0.015070731052136336,0.014770590806536085
GLD__ret_1d,-3.572401652450204e-05,0.01041138175249816
GLD__mom_5,-0.00014728261300530655,0.02256591160771499
GLD__mom_21,-0.0007553482350619231,0.04502131718793227
GLD__mom_63,-0.0043853070790666904,0.07214371753956894
GLD__vol_21,0.159247727677833,0.0453811606712596
GLD__dd,-0.036361879883031044,0.02974134749406173
