strategy,kind,seed,period,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
static_60_30_10,baseline,-1,val,0.028936897427049857,0.007128633419855701,0.11930237196338678,0.11906079571756298,0.17104033972304772,-0.23969159699312304,0.02974085662277192,0.011863290202239809,0.01750161426811337,1012,0.005316106345010552,1.3396587989426592,0.5999900702156163,0.29998279785646725,0.1000271319279164
equal_weight,baseline,-1,val,0.09076088683188588,0.02186872369648052,0.08779510294689181,0.2902766385687281,0.4328445020702976,-0.16513649796113572,0.13242816679827643,0.008879815397398847,0.012564416831892118,1012,0.005611265125293299,1.4140388115739113,0.33331747578846055,0.3332900003246095,0.33339252388693
buy_and_hold,baseline,-1,val,0.07103190541259119,0.017234668689414923,0.0883447823012622,0.2375685358511716,0.36089950246784713,-0.1648602759378196,0.10454106419132361,0.008896970204982828,0.012552851666188221,1012,3.6422336380983396e-17,9.178428768007816e-15,0.2896297475001344,0.3205981335884977,0.38977211891136787
inverse_vol,baseline,-1,val,0.05024101743413367,0.012281284285545313,0.07088268263465693,0.20764113680215085,0.293902462135652,-0.1517385186043987,0.0809371568834421,0.007614041524224288,0.01064228897443536,1012,0.01044668846327611,2.6325654927455795,0.21977702681468306,0.5440969212685597,0.23612605191675734
random,baseline,-1,val,-0.39469253820664296,-0.11751070558730736,0.12306722167791519,-0.9542284757384489,-1.360551298348117,-0.4837057878338499,-0.2429383905318735,0.012599127283575318,0.018443065354759355,1012,1.0063295647132529,253.5950503077397,0.32779305577515433,0.33320920969414475,0.338997734530701
DQN,rl,0,val,0.04553484000054109,0.011149841485313283,0.1506199851644807,0.14820771575741365,0.22211223224712723,-0.3714576293449502,0.030016455725988336,0.013274485465189396,0.020570603928795835,1012,0.7195102824875969,181.3165911868744,0.45327063715233396,0.26757722041378745,0.27915214243387865
DQN,rl,1,val,-0.5280230803509341,-0.17052671521859897,0.13969390834382908,-1.2679845713372406,-1.737002367973318,-0.5668248443647055,-0.30084552029423567,0.014265543687171292,0.021176823128168366,1012,0.7901058480613,199.1066737114476,0.36277590671086013,0.2621418441482335,0.3750822491409064
DQN,rl,2,val,-0.4262457403626415,-0.12919704557990197,0.1349013541481411,-0.9577610677873758,-1.2973098970099108,-0.46773399884956357,-0.2762190601873596,0.013118906896489157,0.020474799066471677,1012,0.7306395512925237,184.12116692571595,0.3841001223704059,0.31328710990509895,0.3026127677244952
PPO,rl,0,val,-0.5232378879593033,-0.16844052302205226,0.13059871885936092,-1.3465265751734803,-1.9276627256925085,-0.5296980116457741,-0.31799349689591394,0.013768260259619448,0.019031234071992587,1012,0.8275514365583113,208.54296201269446,0.3569404799570136,0.28114747469271656,0.36191204535026983
PPO,rl,1,val,-0.3634768163400065,-0.10639124300463809,0.13008867964990015,-0.7994538413688225,-1.1634685959006648,-0.42617635920529173,-0.24964135317836528,0.013777870097057417,0.018910418425166588,1012,0.7403987655643332,186.58048892221194,0.28568410115188453,0.3013334385781219,0.41298246026999363
PPO,rl,2,val,-0.2784727093300863,-0.07805872844243955,0.12378241363024114,-0.5946599064459316,-0.8750705970776019,-0.33843533237012646,-0.23064591954917812,0.01324373162821573,0.01798769340920418,1012,0.9356916277188323,235.79429018514574,0.2946114378050477,0.34781687391722504,0.35757168827772723
static_60_30_10,baseline,-1,covid_crash,0.043795144917214035,0.11528106753337752,0.06988095649425109,1.5962065199982358,2.7512325407072664,-0.0410967343205052,2.805115039903744,0.006024439041391913,0.008012649033219226,99,0.009141464940127594,2.3036491649121538,0.6002984857577262,0.29979058487364457,0.09991092936862925
equal_weight,baseline,-1,covid_crash,0.006705295885415241,0.01715656929604381,0.05942080539239009,0.3156919356115656,0.5521320637090913,-0.026676566477922492,0.6431325901795711,0.0055858610236063,0.007490221996091002,99,0.0042930547758486,1.081849803513847,0.3336263304105272,0.33322084021996595,0.33315282936950685
